"","I","L","SNR","ci_width","samp","t.rho","seeds","samp.1"
"1",100,50,0.1,1.22384769086914,0.389958873092847,0,969167,0.389958873092847
"2",200,50,0.1,0.986658027047015,0.276151126562838,0,188942,0.276151126562838
"3",100,50,0.1,1.52725595207908,0.386946546755309,0.5,134058,0.386946546755309
"4",200,50,0.1,0.702692085704284,0.275011044699887,0.5,124022,0.275011044699887
"5",100,50,0.2,0.555076478825442,0.375908517722681,0,685285,0.375908517722681
"6",200,50,0.2,0.415394626554887,0.277198268930466,0,226318,0.277198268930466
"7",100,50,0.2,0.526474572356137,0.365661217832332,0.5,365209,0.365661217832332
"8",200,50,0.2,0.308680356427522,0.228240673278161,0.5,648795,0.228240673278161
"9",100,50,0.1,1.13941623105604,0.389697085524868,0,985797,0.389697085524868
"10",200,50,0.1,1.12553391138947,0.277477458656768,0,193627,0.277477458656768
"11",100,50,0.1,1.18133641187381,0.392783294365961,0.5,569692,0.392783294365961
"12",200,50,0.1,0.659927026484101,0.268884532318211,0.5,589449,0.268884532318211
"13",100,50,0.2,0.619836619685645,0.387034669666068,0,832867,0.387034669666068
"14",200,50,0.2,0.428472294814391,0.274179762032877,0,497690,0.274179762032877
"15",100,50,0.2,0.459685058480036,0.345350400431866,0.5,402858,0.345350400431866
"16",200,50,0.2,0.28950831174077,0.222063501246717,0.5,583422,0.222063501246717
"17",100,50,0.1,0.902933913931754,0.389879597206088,0,183204,0.389879597206088
"18",200,50,0.1,1.07283834618899,0.275121055380739,0,883281,0.275121055380739
"19",100,50,0.1,0.513774812668587,0.337321940633921,0.5,669543,0.337321940633921
"20",200,50,0.1,0.607158090908066,0.260418899017755,0.5,277324,0.260418899017755
"21",100,50,0.2,0.568733247621705,0.391639323752001,0,944672,0.391639323752001
"22",200,50,0.2,0.393954228614334,0.272648573468761,0,613997,0.272648573468761
"23",100,50,0.2,0.540114707340918,0.361599884183741,0.5,402313,0.361599884183741
"24",200,50,0.2,0.346869732747912,0.250959604906725,0.5,554826,0.250959604906725
"25",100,50,0.1,1.53904583981845,0.392713750747184,0,449435,0.392713750747184
"26",200,50,0.1,0.90157819108743,0.277303969527321,0,749877,0.277303969527321
"27",100,50,0.1,1.37413237219443,0.38758487019983,0.5,401205,0.38758487019983
"28",200,50,0.1,0.782139869460604,0.265057199068156,0.5,668896,0.265057199068156
"29",100,50,0.2,0.619017705748985,0.387482046322199,0,377049,0.387482046322199
"30",200,50,0.2,0.442546710391364,0.275585674835056,0,90077,0.275585674835056
"31",100,50,0.2,0.457043067010608,0.33429667567048,0.5,268360,0.33429667567048
"32",200,50,0.2,0.32950418337515,0.241832249527715,0.5,738879,0.241832249527715
"33",100,50,0.1,1.14149109529882,0.390708018562561,0,815826,0.390708018562561
